Timestamp,"Your Name (if you want, you can share)",Viva Date,Viva Proctor ID (the id which was sent to you in email for viva),Questions asked by the Viva examiner (Write in points),Any suggestions/tips to fellow students for this examiner?
12/15/2024 13:07:34,Ayush Verma,12/14/2024,level3_36,"What is the problem statement?
Explain your notebook
Correlation Matrix uses
Precision, Recall, F1 score etc.
Encoding- Why you didn't used better encoders?( I used label encoder)
Explain Hyperparameters used 
Logistic regression
SVM, kernel and types of Kernel
KNN, 
WHY KNN is called lazy learner?

Bagging/Boosting
Why did you use Random forest?
What are feature selection techniques?
Roc_auc, Why you didn't used Puc_auc for scoring?
","Decent guy,
I just said no, straight to him if I didn't knew something 

He suggested that you don't know something say that 
you will learn it/can't recall it.
"
12/15/2024 13:27:49,Jay thadeshwar,12/14/2024,Level3_46,"Asked me to present my notebook. 
After presentation he asked some questions from my notebook:
What have you done with outliers? 
Is removing outliers is good practice or can we do something with it? . And he provided his insights that removing is not always good practice it may have information. 
Asked about Colinearity... If two column is highly corelated what should we do? 
Bagging boosting and how it works. 
Decision tree and how it works. 
What is entropy ? 
Why bagging and boosting is better than decision tree? 
Different metrics and its formula. 
Why accuracy is not good metric? 
In dataset about diabetes which metric is good choice? 
How Logistic regression and knn works ? 

He is very nice and nurturing guy.. Provided his insight wherever 
",Prepare your notebook. Most of question will be from you notebook. How and why you have done this. 
12/16/2024 13:39:02,Ishika Sachdev,12/15/2024,level3_9,"1. All questions those are mentioned in this sheet for this proctor.
2. Full form of roc-auc and its interpretation.",Be patient while answering he asks only conceptual questions.
12/17/2024 16:23:16,Khushi,12/12/2024,Level2_72,"Classification report related what is precision, accuracy,f1 score etc etc","Just have indepth knowledge of whatever you've used in your notebook, viva was chill and easy and the proctor was super nice."
2/20/2025 19:11:08,,2/15/2025,leve2_74,"L1 viva:
Proctor asked me to give an intro about me.. then said the flow of viva
Flow:
Explain the problem statement
Start from starting of your notebook
Explain till the end

In between he asked small questions like what is learning rate, explain wrt overfit underfit

Then he asked me to code 2 things
Create a dummy pipeline and add it to column transformer
Use different scaling method and a different strategy in impute method


He gave suggestions to plot confusion matrix and classification report


Result: 10/10


L2 Viva:
Proctor straight away asked theoretical questions about
What is data preprocessing, EDA, Feature Engineering, Hyperparameter tuning.. 
Then he asked me to share the notebook and explain
I did.. he asked basic questions.. see all questions from Gform..

All depends on how well u speak about questions he asks.. I just answered everything confidently he didn't ask any added question to the current question..
Simple only both Viva are.. Just prepare gform questions before viva..

Result: 
Notebook : 10/10
Viva Marks: 47/50
Viva  Feedback: Fundamentals are strong. Looks quite confident ",Just read this gform responses
2/25/2025 14:55:57,,2/25/2025,level1_viva7,"1. Show your notebook.
2. Explain what you have done.
3. Said that code looks clean, just gave 1-2 tips to improvise the code.",Chill guy
2/25/2025 18:16:40,Sakthivel S,2/25/2025,level1_viva8_MLP_Viva ,"-> Asked me to introduce myself
-> Asked me to start with the EDA
-> As I was explaining each and every line of the code, there were no place for interruption and he had no other questions  ","-> Maintain a clean notebook and make sure you have implemented all the necessary models. 
->Know well about each line of your code, you will probably not be questioned. "
2/26/2025 13:11:19,manoj,2/26/2025,mlp_level1_viva9,"asked me to explain my notebook(didnt take that much time)
then she gave me a question in gmeet to solve :
Create a new dataframe called cat_df which contains only the columns of datatype 'object'. In cat_df, for all the columns which take less than or equal to 10 unique values, use OneHotEncoder(sparse=False, drop='first', handle_unknown='ignore'). What is the new number of columns in the cat_df dataframe?
i wasnt able to solve but she was sweet she let me use google and documentation and suggested that i should work more on coding and said work more on coding for level 2 

overall decent and she was nice",
2/26/2025 18:38:41,S,2/26/2025,Level1_viva9,"1. Just presented my notebook. I did alot of code in nb so she didn't have much questions to ask.
2. asked to copy the x train and divide into num and cat column.",Be calm and compose
2/26/2025 23:04:58,Akash Kumar,2/26/2025,mlp_level1_viva9,Take training data split into 2 data frame between Numerical and Categorical data. Then scale it.,She was good and told me i can take help of documentation and I easily done it.
2/28/2025 13:25:47,Reeshma k,2/28/2025,level1_116,1. asked me to explain the whole notebook workflow according to the rubrics ,"He didnt ask any question , just expected me to present and have a clean notebook"
3/1/2025 10:16:49,Keerthika,2/27/2025,level1_viva2,"1. To explain the entire notebook. ( Pre-processing, EDA, Hypertuning, Model comparision and insights gained from the analysis)
2. Asked me to code the pipeline I used in my notebook.",Just be confident and learn how every line of code in your notebook works.
3/1/2025 17:22:34,,3/1/2025,level1-viva7,Explained my notebook clearly in 25-27 minutes. Later he came and gave suggestions to improve my accuracy score. Not asked any question. Gave suggestion about how to prepare for level 2 viva. Chill person.,Just be ready with your notebook and present confidently.
3/1/2025 17:39:22,,3/1/2025,level1-8,"Asked me to show EDA. Explained the code in 10 mins.
Gave some suggestions to improve code
Completed my viva in 15 mins total
","Most chill guy
You should know each line of your code"
3/1/2025 17:47:19,Anamika ,3/1/2025,12,"1. Code Random forest classifier with grid search hyperparametric tuning.
2. What is robust scaling that is used in pipeline 
3. What is pipeline.",
3/1/2025 18:03:48,,3/1/2025,level3_30,"Seemed more like a MLT viva than MLP. No code just theory
She asked what could be done if the data is imbalance (200 1's and 800 0's): answer use clustering: (make 200 clusters of 0 and choose 1 point from each to match with 200 points of 1)
Formula for Pearson correlation
Bagging classifiers to prevent overfitting and whether we give all of the features to each tree in a random forest: answer is No
Is PCA linear or non-linear: Linear, unless kernel PCA
Explain why L1 helps in eliminating features while L2 prevents overfitting","Focus on theory, I think she is a MLT instructor with no knowledge of code. She wont confirm if your answer is correct or not."
3/1/2025 19:43:07,Rajesh ,2/27/2025,Level1_7,Just asked me to explain the notebook,Work on outliers after feature selection 
3/2/2025 12:47:29,Muktavali Rao ,2/28/2025,Level1_viva7,"No questions asked. A very chill guy, will just ask you to present your notebook followed by some suggestions and that's it!",Just be confident and know what you've done in the notebook!
3/2/2025 15:19:58,Prabhav Agrawal,3/2/2025,Level3_20,"1.) Explain The notebook 
2.) How many Models have you trained
3.) On how many did you do Hyperparamter tuning 
3.) Why only on x(X being the number on which you did)
4.) Which took the longest (Weird Question it depends on my parameters)
5.) Explain Gradient Descent 
6.) Now open a whiteboard and explain this in detail 
7.) Why have you used accuracy not f1 score roc etc etc 
8.) Make a confusion Matrix draw on white board explain it to me and then explain what the formulas of Recall F1 etc are",Re-Go through theory part of ML Study MLT MLF
3/2/2025 16:10:00,Mahesh,3/1/2025,Viva18,"1. Explain the notebook 
2. Shape of the test data 
3. Shape of the training data
4. First 5 rows of the training data
5. Basic statistics of the training data (.describe())
6. Count of null values in training data","Very chill, take your time to explain the notebook thoroughly "
3/2/2025 20:16:12,Yash K,3/2/2025,Level3_20,"He is a really sweet guy. Would give his insights and suggestions at every part. 

Dont stress much. Just keep explaining each and every part of your notebook in detail. 

Like expalin why you used something and how is it better and do this for all things imputer, scalar, model.

I had 13 models in total. I explained description for all of them and that was enough.

He asked no other questions. 

He will ask if you have any qu stions in the end. Just ask one or two suggestion..

He will happily end the viva. ","Just improve your concepts. Nothing fancy !

Have a great day "
3/4/2025 18:55:43,S,3/4/2025,Level3_viva20,"1. Explain notebook
2. Explain how PCA works
3. Did you do hyper parameter tuning
",Chill proctor. Went great
3/8/2025 20:17:09,,3/8/2025,,"1. Write the code for pipeline, 2. RobustScaler explain ",
3/20/2025 16:32:12,Anonym,3/20/2025,mlp_level1_viva14,"He was pretty chill. Asked me to quickly go through the notebook
Asked total no. Of models that will be trained when param is used.
overfitting underfitting
What is cv. How cv works
What resources u used
What other approaches u tried
Did u try other preprocessing and models
His question  were mostly on preprocessing and models
Lastly told MLT course theory will be asked viva 2 and unsupervised, regression questions can also be asked. Coding will also be asked to do in viva 2
",Know your notebook thoroughly 
3/20/2025 17:38:04,Ekta,3/20/2025,Lvl1_viva7,"It was a level 1 viva, the proctor asked no questions, just asked to explain the notebook. ",
3/20/2025 19:10:35,,3/20/2025,Level1_116,"Asked me to explain the eda part then he moved on to imputation, then, scaling, models and then hyper parameter tuning. ","Just make sure you can explain each and every line of your notebook. That's it. 
No extra questions were asked. "
3/20/2025 19:29:59,,3/20/2025,mlp_level1_viva14_MLP_Viva," Explained my notebook in around 25 minutes.
1. How many iteration will be there while training the model based on your hyperparameter tuning.
2. Point out TP and TN in confusion matrix. ",just explain everything present in your notebook.
3/20/2025 21:32:05,Anzar,3/20/2025,viva18,"what are these 'colsample_bytree': 0.8,
    'learning_rate': 0.1,
    'max_depth': 5,
    'n_estimators': 200,
    'subsample': 0.8
and then what will happen if learning rate is increased, n_estimator is increased, max depth is changed",explain your code well & keep calm.
3/20/2025 23:48:49,Pranav Darak,3/20/2025,viva_leve1_viva2,"Full notebook Explaination (Gave his expectations beforehand)
Asked for indepth notebook analysis on things like Preprocessing, Feature Engineering
Asked to code Pipeline","Be confident with notebook
Do feature engineering"
3/21/2025 16:09:40,Anubhav Agarwal,3/20/2025,level1_9,"1. She asked me to tell about data preprocessing first
2. Then she asked about the models and why my model was preforming good.
3. She asked about boosting and the parameters of GBC
4. Then she asked about the OHE and Ordinal Encoder
5. Asked why we put sparse_output=False in OHE
6. Asked to separate num and cat cols and create a pipeline for the numerical and categorical columns","Don't just focus on the code, focus on the theory as well, as I was unable to answer what is boosting and why GBC was performing good. And this was level 1 viva.
Overall, the procter was very nice"
3/21/2025 16:27:30,,3/21/2025,mlp_level1_viva7,"super sweet and chill guy, asked me to explain the code and my notebook in detail, no questions asked. provided tips for level 2.","keep a clean notebook, well-commented, provide analysis, explanation etc.
explain everything in a clear manner, that's about it."
3/21/2025 16:52:58,Adii,3/21/2025,mlp_level1_viva7,"It was a level 1 viva
Super chill guy as all the others have mentioned in this form.
Just told me to explain my notebook in detail. I took my time and explained it in detail
for about 20mins. 
Later he gave me suggestions on how to maintain a clean notebook and that was all.","Know each and every part of your code from the notebook. 
Maintain a clean notebook with insights after code blocks and 
also try to explain each and everything you know. Try to learn about
the models and explain them as well. Be calm and confident.
All the best to whoever reading this!"
3/21/2025 18:36:31,,3/21/2025,level1_viva8,"Show ID card
Don't tell me line by line, just tell me what you understood from EDA
What preprocessing did you do? Did you use any pipelines?
What are the parameters in LogisticRegression?
What are the loss functions used in LogisticRegression?
Loss function in RFC?
Parameters in RFC?
Is RandomForestClassifier a bagging or boosting algorithm? How?","Overall, I feel he is good and supportive, he was saying it is okay if I did not the answer but be prepared with the basics of theory. Be prepared with your ID card and notebook as he appreciates readiness."
3/22/2025 10:20:12,Dev,3/21/2025,level1_viva9,"1. tell me about your eda
2. did u use pipeline, if yes why, if no why
3. did u use feature engineering
4. code- load ur train data set and separate the cat and num column
5. code- the encoder u used. or any encoder
6. why lgbm is show more accuracy
7. what is standard scaler
8. what is overfitting
9. how many types of encoders u know and why did u use those in ur project",have basic level knowledge of these questions. and be ready to code. she'll basically see that do u know to code or not. 
3/22/2025 10:21:32,Raj,,level1_viva8,"1. show eda. told me eda is less
2. done. didn't ask anything and said its ai generated code. u will have to repeat.
3. very strict",
3/22/2025 13:33:40,Mahabodhi Bhattacharjee,3/20/2025,level1 116,He just asked me questions related to my notebooks. he just checked all marking criteria and finished it in 20 minutes," just explain your notebook well and short and understand your notebook well,"
3/23/2025 7:59:08,Purushothaman,3/22/2025,Level1_Viva8,"1. Explain the EDA , and one thing you noticed about the dataset
2. Loss function in Logistic Regression
3. Parameters in Log Regression, RFC
4. Difference B/w Parameters and hyperparameters
5. Coding: Create a pipeline for Numerical and Categorical Columns with SI,Robust Scaler and KNN, OHE Resp.","Even if you have not done EDA just be honest with him, he seems to be very supportive. Be good in Theory as well as your notebook. Try to Maintain a clean Notebook. Ensure there is no data leakage from your preprocessing. "
3/23/2025 9:09:20,,3/21/2025,level1_viva14,"Briefly explain the notebook in about 10 mins

Asked about the parameters chose in the model

Change the hyperparameter tuning from randomisedsearchcv to gridsearchcv

Asked to point out TP FP in the confusion matrix

How did you analyse if the model is overfitting or underfitting

If the dataset size is increased which model do you think would perform well.

Bagging and boosting in depth

He gave tips to for level 2",Very chill… looks friendly… just confidently explain your notebook and also the findings.
3/23/2025 16:27:50,IA,3/20/2025,mlp_level1_viva9,"-Explain notebook
-Why minmax scaler over standardscaler. Explain both and their difference (range,values)
-Coding question: Reload the training data and create a new cell in the end of the notebook. Split categorical and numerical columns and create separate pipelines where imputing is done on both , scaling on numerical and encoding on categorical columns. Apply (fit) both these pipelines to the training data (columntransformer).
-Mention all the models u tried while training",Learn how to code well and know each and everything done in the notebook
3/23/2025 16:35:29,IA,3/23/2025,level2_74,"Questions were asked before presenting notebook:
-What is data preprocessing, Feature Engineering
-Why is Hyperparameter tuning required?
-Which models did u try and which worked the best and why did it give the best results?
-Why set random_state= 42
-What happens in dimensionality reduction? Does it crop/cut data?
-If the house's past price is given and you need to predict future prices, which ML model is suitable and why? What are the steps for that model's algorithm?",Learn from the Gsheet responses well and explain your notebook in a detailed manner
3/23/2025 17:11:04,,3/23/2025,12,"Level 1, proctor 12
- explain code 
- code confusion matrix for xgb
- code preprocessing pipeline for imputation and scaling 
- explain logistic regression",
3/23/2025 19:04:14,,3/13/2025,viva1_level12,"Explain your notebook very well
He asked everyone to code a pipeline
Some people were asked to code hyperparameter tuning

No theory questions",
3/23/2025 22:28:33,,3/22/2025,mlp_level1_viva14,"the number of iterations my model will perform
asked me to code randomized search cv for logistic regression
if I have analyzed that my model is overfitting or underfitting
explain cross validation
asked me if I have used scaling technique
continued.. why standard scalar what is the difference between other scaling techniques","for people who do not know coding well, learn hpt coding for all the models you have in the notebook and go through for other models as well such as logistic regression

overall he is kind and he will listen to you"
3/23/2025 22:41:52,,3/23/2025,74,"- Why EDA is required
- Why preprocessing is required.
- Difference between Random Forest and Decision Tree
- Why Hyperparameter tuning is required.
- Explain your project
- No coding round
- Feature Scaling related
- How hyperparameter tuning is done
- Grid Search CV
- Randomized Search CV
-PCA and Dimensionality reduction. Does it eliminate any data points
- Outlier Detection and Treatment
- How did you handle missing values?",Chill
3/24/2025 11:26:51,David,3/24/2025,mlp_level1_viva7_MLP_Viva,"1. Explain your code and approach
2. Have you used Pipeline and Column Transformer
3. Explain Simple Imputer and One hot encoder
4. Which CV was used

Gave some suggestions
1. proper commenting
2. Include comparison between models","Just explain your notebook thoroughly.
Know each and every line of your code properly"
3/24/2025 12:09:07,Praveen,3/23/2025,mlp_level1_viva8_MLP_Viva,"1. Explain Notebook
2. Explain Logistic Regression
3. What are parameters of Logistic Regression
4. Loss function for Logistic Regression
5. Edit Preprocessing pipeline. Add a robust scaler
6. What will happen if you do step 5
",He was chill. Add notes to all the code that you do. It will help you to explain the code. Explain why you did certain code reasoning behind. I think I have put a neat notebook which might have helped me. He said you did a good job and explained me how I can make my code better
3/24/2025 13:16:21,,3/23/2025,level1_116,"Explain insights from your EDA
What is a box plot
Where have you used encoder/scaler
Have you used a pipeline?
Have you used stacking?
Simple imputer vs fillna
code a pipeline",Manual preprocessing should be avoided. Use Pipelines and CT for preprocessing.
3/24/2025 17:18:35,,3/24/2025,mlp_level1_viva7_MLP_Viva,"1. Difference between One hot encoding and label encoding
2. Why is pipelining used?",Explain your notebook nicely.
3/24/2025 20:20:31,,3/24/2025,level1_116_MLP_Viva,"1. Explain what you have done in 10 minutes.

After explaining --
   Just checked if all the things are present in code like - EDA, Pipelines, feature engineering,  models, hyperparameter tuning.",Keep your code clean and make sure you can explain your code.
3/25/2025 8:36:23,,3/24/2025,Level2_75,"1. What is gradient descent
2. How logistic regression can be used for multi-class problems
3. How gradient descent is related to logistic regression and multi-class problems
4. What is ROC-AUC, how can you apply it for the project you did
5. PCA in detail","Prepare your notebook well, and if you do not know a topic just tell him rather than answering wrong"
3/25/2025 11:50:27,,3/24/2025,l1_viva14,"basic overview of notebook
asked me to code randomsearchCV with any of the 2 models(perceptron, SVM)","he is a very chill guy, he will also help you if you are stuck somewhere"
3/25/2025 13:18:19,,3/25/2025,LEVEL3_30,"MLP LEVEL3_30
Duration- 50 mins 

Q. Introduce yourself 
Q. Explain your notebook 

Q. How have you handled Nan values 
Q. If there are outliers in the feature, what imputer should be used 
Q. How does Logistic regression work 
Q. What is the loss function of logistic regression 
Q. How does linear regression work 
Q. What is its loss function
Q. How does Random Forest Classifier work 
Q. How does XGB work 
Q. Difference between Bagging and Boosting 
Q. What are the types of feature reductions 
Q. How does PCA work 
Q. What are eigen vectors 
Q. How to Calculate PCA manually 
Q. How to Calculate EigenVectors manually 
Q. If we are determining poisonous apples, do we need Precision or Recall 

She is more into theory, not a single coding question asked","Know the theory well, she doesn't ask coding questions "
3/25/2025 14:51:25,Achal Deep,3/20/2025,Level1_7,Notebook Explanation only,"Stay calm while presenting, and add observations/conclusions in your Notebook"
3/25/2025 14:58:03,Achal Deep,3/24/2025,Level3_19,"Why we need train test split ?
Confusion Matrix (identify True Positive, TN, FP, FN in multi label categorical data)
Explain Overfitting, Underfitting",Revise theoretical concepts (what & why)
3/25/2025 15:00:39,,3/24/2025,Level1_viva_7,Onehotencoder and RandomeForestClassifier,Just know what you've written in your notebook. Make sure to write down your observations.
3/25/2025 15:31:33,,3/25/2025,level3_20,No question asked,Explain each and everything in the notebook-what you did and why you did it. That's it. 
